id,source,source_link,download_url,title,description,authors,date_published,license,license_url,file_type,file_name,file_size,project_scope,keywords,language,local_path,downloaded,download_date,created_at
11,Zenodo,,https://zenodo.org/api/records/18196304/files/Qual Coder Coding File .qdpx/content,"Implementation Science, Program Fidelity, and Program Delivery in Scaling Early Literacy Interventions for Children Aged 3–13: A Systematic Review","<p>This data set contains the qdpx coding file done through Qual Coder 3.7 , thematic coding master code list, Data set extracted against research questions and the bibliometric metadata of included studies&nbsp;</p>","Mishra, Pradeep Kumar",2026-01-09,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,qdpx,Qual Coder Coding File .qdpx,11117573,QDA,,,,0,,2026-02-19 23:22:04
12,Zenodo,,https://zenodo.org/api/records/18196304/files/Themating Coding File.xlsx/content,"Implementation Science, Program Fidelity, and Program Delivery in Scaling Early Literacy Interventions for Children Aged 3–13: A Systematic Review","<p>This data set contains the qdpx coding file done through Qual Coder 3.7 , thematic coding master code list, Data set extracted against research questions and the bibliometric metadata of included studies&nbsp;</p>","Mishra, Pradeep Kumar",2026-01-09,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,xlsx,Themating Coding File.xlsx,35193,Qualitative,,,,0,,2026-02-19 23:22:04
13,Zenodo,,https://zenodo.org/api/records/18196304/files/Meta Data_Bibiliometric Analysis.csv/content,"Implementation Science, Program Fidelity, and Program Delivery in Scaling Early Literacy Interventions for Children Aged 3–13: A Systematic Review","<p>This data set contains the qdpx coding file done through Qual Coder 3.7 , thematic coding master code list, Data set extracted against research questions and the bibliometric metadata of included studies&nbsp;</p>","Mishra, Pradeep Kumar",2026-01-09,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,csv,Meta Data_Bibiliometric Analysis.csv,201068,Qualitative,,,,0,,2026-02-19 23:22:04
14,Zenodo,,https://zenodo.org/api/records/17360366/files/PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx/content,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>","Navarro Gambín, Pedro | Bonetti, Marta | VILLA, MATTEO",2025-10-15,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,docx,PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx,46733,Qualitative,,eng,,0,,2026-02-19 23:22:04
15,Zenodo,,https://zenodo.org/api/records/17360366/files/27_PLANET4B_Oscalito-FieldVisit_20240717_docx.docx/content,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>","Navarro Gambín, Pedro | Bonetti, Marta | VILLA, MATTEO",2025-10-15,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,docx,27_PLANET4B_Oscalito-FieldVisit_20240717_docx.docx,32915,Qualitative,,eng,,0,,2026-02-19 23:22:04
16,Zenodo,,https://zenodo.org/api/records/17360366/files/7_PLANET4B_ArtknitStudios-Doc6_2025_docx.docx/content,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>","Navarro Gambín, Pedro | Bonetti, Marta | VILLA, MATTEO",2025-10-15,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,docx,7_PLANET4B_ArtknitStudios-Doc6_2025_docx.docx,187497,Qualitative,,eng,,0,,2026-02-19 23:22:04
17,Zenodo,,https://zenodo.org/api/records/17360366/files/48_PLANET4B_Business-Models-SUMMARY_Pisa_20251009_docx.docx/content,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>","Navarro Gambín, Pedro | Bonetti, Marta | VILLA, MATTEO",2025-10-15,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,docx,48_PLANET4B_Business-Models-SUMMARY_Pisa_20251009_docx.docx,71736,Qualitative,,eng,,0,,2026-02-19 23:22:04
18,Zenodo,,https://zenodo.org/api/records/17360366/files/25_PLANET4B_Oscalito-Interview8_20240930_docx.docx/content,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>","Navarro Gambín, Pedro | Bonetti, Marta | VILLA, MATTEO",2025-10-15,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,docx,25_PLANET4B_Oscalito-Interview8_20240930_docx.docx,34542,Qualitative,,eng,,0,,2026-02-19 23:22:04
19,Zenodo,,https://zenodo.org/api/records/17360366/files/19_PLANET4B_Oscalito-Interview2_20240716_docx.docx/content,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>","Navarro Gambín, Pedro | Bonetti, Marta | VILLA, MATTEO",2025-10-15,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,docx,19_PLANET4B_Oscalito-Interview2_20240716_docx.docx,33184,Qualitative,,eng,,0,,2026-02-19 23:22:04
20,Zenodo,,https://zenodo.org/api/records/17360366/files/29_PLANET4B_Rifò-Doc2_2023_pdf.pdf/content,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>","Navarro Gambín, Pedro | Bonetti, Marta | VILLA, MATTEO",2025-10-15,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,pdf,29_PLANET4B_Rifò-Doc2_2023_pdf.pdf,18786852,Qualitative,,eng,,0,,2026-02-19 23:22:04
21,Zenodo,,https://zenodo.org/api/records/17360366/files/22_PLANET4B_Oscalito-Interview5_20240717_docx.docx/content,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>","Navarro Gambín, Pedro | Bonetti, Marta | VILLA, MATTEO",2025-10-15,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,docx,22_PLANET4B_Oscalito-Interview5_20240717_docx.docx,34985,Qualitative,,eng,,0,,2026-02-19 23:22:04
22,Zenodo,,https://zenodo.org/api/records/17360366/files/43_PLANET4B_Rifò-Interview1_20240718_pdf.docx/content,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>","Navarro Gambín, Pedro | Bonetti, Marta | VILLA, MATTEO",2025-10-15,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,docx,43_PLANET4B_Rifò-Interview1_20240718_pdf.docx,52522,Qualitative,,eng,,0,,2026-02-19 23:22:04
23,Zenodo,,https://zenodo.org/api/records/17360366/files/9_PLANET4B_ArtknitStudios-Doc8_2025_pdf.pdf/content,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>","Navarro Gambín, Pedro | Bonetti, Marta | VILLA, MATTEO",2025-10-15,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,pdf,9_PLANET4B_ArtknitStudios-Doc8_2025_pdf.pdf,3345511,Qualitative,,eng,,0,,2026-02-19 23:22:04
24,Zenodo,,https://zenodo.org/api/records/17360366/files/32_PLANET4B_Rifò-Doc5_2025_pdf.pdf/content,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>","Navarro Gambín, Pedro | Bonetti, Marta | VILLA, MATTEO",2025-10-15,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,pdf,32_PLANET4B_Rifò-Doc5_2025_pdf.pdf,2203513,Qualitative,,eng,,0,,2026-02-19 23:22:04
25,Zenodo,,https://zenodo.org/api/records/17360366/files/21_PLANET4B_Oscalito-Interview4_20240717_docx.docx/content,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>","Navarro Gambín, Pedro | Bonetti, Marta | VILLA, MATTEO",2025-10-15,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,docx,21_PLANET4B_Oscalito-Interview4_20240717_docx.docx,31895,Qualitative,,eng,,0,,2026-02-19 23:22:04
26,Zenodo,,https://zenodo.org/api/records/17360366/files/8_PLANET4B_ArtknitStudios-Doc7_2025_docx.docx/content,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>","Navarro Gambín, Pedro | Bonetti, Marta | VILLA, MATTEO",2025-10-15,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,docx,8_PLANET4B_ArtknitStudios-Doc7_2025_docx.docx,17918,Qualitative,,eng,,0,,2026-02-19 23:22:04
